ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;17.11.2020 15:33:18;0;171;50.000961;8.261128;6;132;35;4.40;12.22;35.52;15.74;62.28;1018;36;8;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2.33;637;0.49;17.38;57.74
2;17.11.2020 15:33:19;0;171;50.000961;8.261128;6;128;35;3.66;15.42;24.61;15.76;62.26;1018;25;7;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.33;637;0.49;17.41;57.67
3;17.11.2020 15:33:20;0;171;50.000961;8.261128;6;132;35;4.21;9.48;10.05;15.73;62.27;1018;30;5;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.34;637;0.49;17.41;57.63
4;17.11.2020 15:33:21;0;171;50.000961;8.261128;6;128;35;3.14;9.59;11.53;15.70;62.22;1018;25;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.34;638;0.49;17.43;57.58
5;17.11.2020 15:33:22;0;171;50.000961;8.261128;6;128;35;3.36;8.05;9.70;15.72;62.16;1018;33;5;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2.39;639;0.49;17.45;57.54
6;17.11.2020 15:33:23;0;171;50.000961;8.261128;6;128;35;5.85;25.23;40.52;15.73;62.12;1018;27;5;8;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.37;641;0.49;17.46;57.45
7;17.11.2020 15:33:24;0;171;50.000961;8.261128;6;128;35;6.61;25.50;31.09;15.69;62.10;1018;41;7;2;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.45;641;0.49;17.49;57.41
8;17.11.2020 15:33:25;0;171;50.000961;8.261128;6;128;35;3.33;7.17;7.65;15.69;62.10;1018;29;4;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.47;641;0.49;17.46;57.34
9;17.11.2020 15:33:26;0;171;50.000961;8.261128;6;128;35;3.95;12.28;69.23;15.69;62.11;1018;34;7;5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.47;640;0.49;17.49;57.30
10;17.11.2020 15:33:27;0;171;50.000961;8.261128;6;128;35;4.53;19.30;28.72;15.68;62.10;1018;24;5;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.35;639;0.49;17.50;57.22
11;17.11.2020 15:33:28;0;171;50.000961;8.261128;6;128;35;3.37;15.89;79.68;15.68;62.11;1018;25;2;4;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.42;639;0.49;17.50;57.20
12;17.11.2020 15:33:29;0;171;50.000961;8.261128;6;128;35;3.63;13.45;21.95;15.68;62.11;1018;31;2;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.45;638;0.49;17.52;57.15
13;17.11.2020 15:33:30;0;171;50.000961;8.261128;6;128;35;5.44;9.51;9.82;15.68;62.10;1018;32;7;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.40;638;0.49;17.53;57.08
14;17.11.2020 15:33:31;0;171;50.000961;8.261128;6;128;35;4.48;18.59;27.79;15.66;62.10;1018;23;4;2;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.36;638;0.49;17.54;57.04
15;17.11.2020 15:33:32;0;171;50.000961;8.261128;6;128;35;4.74;10.49;12.23;15.68;62.10;1018;42;4;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.33;637;0.49;17.57;56.96
16;17.11.2020 15:33:33;0;171;50.000961;8.261128;6;128;36;4.24;14.91;17.37;15.68;62.08;1018;24;5;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.35;637;0.49;17.59;56.91
