ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;02.12.2020 14:56:17;0;140;50.001015;8.261217;7;132;35;12.77;14.21;14.22;8.65;52.95;1006;99;36;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1.99;619;0.49;13.56;39.32
2;02.12.2020 14:56:18;0;140;50.001015;8.261217;7;132;35;10.07;11.41;11.42;8.61;53.00;1006;94;19;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.06;619;0.49;13.59;39.30
3;02.12.2020 14:56:19;0;140;50.001015;8.261217;7;132;35;12.14;21.52;29.55;8.64;52.97;1006;84;29;9;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.13;619;0.49;13.62;39.29
4;02.12.2020 14:56:20;0;140;50.001015;8.261217;7;132;32;10.27;13.01;13.10;8.64;52.97;1006;98;30;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2.38;619;0.49;13.60;39.26
5;02.12.2020 14:56:21;0;140;50.001015;8.261217;7;132;34;9.11;15.38;22.32;8.63;53.03;1006;98;29;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.44;619;0.49;13.59;39.23
6;02.12.2020 14:56:22;0;140;50.001015;8.261217;7;132;35;9.97;18.42;40.43;8.61;52.97;1006;105;23;5;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.47;619;0.49;13.65;39.19
7;02.12.2020 14:56:23;0;140;50.001015;8.261217;7;132;35;7.81;9.15;9.18;8.61;53.03;1006;99;17;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.52;618;0.49;13.63;39.16
8;02.12.2020 14:56:24;0;140;50.001015;8.261217;7;132;35;9.17;13.02;13.34;8.61;53.06;1006;95;20;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.39;618;0.49;13.63;39.15
9;02.12.2020 14:56:25;0;140;50.001015;8.261217;7;132;35;10.02;12.62;12.87;8.60;53.08;1006;100;34;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.45;618;0.49;13.63;39.07
10;02.12.2020 14:56:26;0;140;50.001015;8.261217;7;132;34;11.17;14.99;15.27;8.58;53.14;1006;111;24;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.44;618;0.49;13.66;39.07
11;02.12.2020 14:56:27;0;140;50.001015;8.261217;7;132;32;11.22;18.58;20.39;8.58;53.15;1006;123;26;6;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.56;618;0.49;13.66;39.03
12;02.12.2020 14:56:28;0;140;50.001015;8.261217;7;132;35;9.42;10.53;10.53;8.58;53.21;1006;113;30;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.76;618;0.49;13.67;38.97
13;02.12.2020 14:56:29;0;140;50.001015;8.261217;7;132;34;8.36;9.36;9.37;8.58;53.19;1006;94;24;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.57;619;0.49;13.69;39.03
14;02.12.2020 14:56:30;0;140;50.001015;8.261217;7;132;35;10.58;14.12;14.38;8.54;53.22;1006;109;28;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2.66;619;0.49;13.69;38.99
