ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;23.02.2021 14:27:17;0;120;50.001270;8.261080;5;150;35;8.20;12.84;17.82;19.00;51.13;1023;163;18;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.40;638;0.49;21.24;44.03
2;23.02.2021 14:27:18;0;120;50.001259;8.261080;5;150;35;8.82;25.28;37.82;19.02;51.07;1023;155;17;5;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.42;638;0.49;21.25;43.97
3;23.02.2021 14:27:19;0;120;50.001251;8.261082;5;150;35;8.67;12.14;140.38;19.00;51.04;1023;139;26;5;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;3.38;638;0.49;21.27;43.94
4;23.02.2021 14:27:20;0;120;50.001247;8.261085;5;150;35;7.40;12.41;28.30;19.02;51.04;1023;151;18;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.41;638;0.49;21.30;43.89
5;23.02.2021 14:27:21;0;120;50.001240;8.261088;5;150;34;9.36;22.01;68.17;19.02;51.04;1023;147;29;7;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.44;638;0.49;21.31;43.87
6;23.02.2021 14:27:22;0;120;50.001232;8.261092;5;150;35;10.67;31.55;44.66;19.00;51.02;1023;156;21;7;2;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.41;639;0.49;21.33;43.79
7;23.02.2021 14:27:23;0;120;50.001228;8.261097;5;150;34;10.02;19.67;22.32;19.02;50.98;1023;146;22;10;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.43;639;0.49;21.34;43.72
8;23.02.2021 14:27:24;0;120;50.001225;8.261097;5;150;35;11.31;26.41;33.60;19.02;50.94;1023;164;24;10;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;3.39;639;0.49;21.36;43.71
9;23.02.2021 14:27:25;0;120;50.001221;8.261102;5;150;35;8.04;13.74;15.22;19.03;50.95;1023;139;21;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.42;639;0.49;21.37;43.68
10;23.02.2021 14:27:26;0;120;50.001217;8.261107;5;150;35;7.27;10.30;11.44;19.03;50.93;1023;135;26;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.39;639;0.49;21.40;43.59
