ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;25.02.2021 14:10:17;0;105;50.001228;8.261163;6;154;36;6.57;64.65;382.87;21.46;37.95;1018;25;16;4;2;6;9;3;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.53;613;0.49;22.91;34.29
2;25.02.2021 14:10:18;0;105;50.001228;8.261163;6;154;35;6.18;31.51;45.57;21.45;37.80;1018;24;11;4;6;6;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.52;614;0.49;22.94;34.25
3;25.02.2021 14:10:19;0;105;50.001228;8.261163;6;154;35;6.46;46.72;133.55;21.44;37.75;1018;20;13;10;4;6;3;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.78;613;0.49;22.97;34.21
4;25.02.2021 14:10:20;0;105;50.001228;8.261163;6;154;35;6.83;46.87;152.49;21.48;37.63;1018;35;12;7;4;6;6;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.68;613;0.49;22.96;34.12
5;25.02.2021 14:10:21;0;105;50.001228;8.261163;6;154;35;5.18;31.50;170.37;21.46;37.50;1018;17;13;8;3;4;4;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.88;613;0.49;22.99;34.07
6;25.02.2021 14:10:22;0;105;50.001228;8.261163;6;154;34;4.93;29.56;114.04;21.46;37.48;1018;19;17;9;1;3;4;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.97;614;0.49;23.00;34.07
7;25.02.2021 14:10:23;0;105;50.001228;8.261163;6;154;35;5.60;43.98;195.87;21.45;37.43;1018;30;9;8;3;6;5;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4.16;614;0.49;23.00;34.04
8;25.02.2021 14:10:24;0;105;50.001228;8.261163;6;154;35;4.87;25.16;63.96;21.45;37.42;1018;27;18;5;2;4;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.19;614;0.49;23.04;33.97
9;25.02.2021 14:10:25;0;105;50.001228;8.261163;6;154;35;5.95;46.96;226.61;21.46;37.48;1018;24;8;7;7;6;5;4;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4.28;613;0.49;23.06;33.94
10;25.02.2021 14:10:26;0;105;50.001228;8.261163;6;154;35;6.06;52.65;211.61;21.46;37.63;1018;30;17;4;4;8;4;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4.21;614;0.49;23.07;33.89
