Zeitpunkt;Z_PM1;Z_PM25;Z_PM25_APDA;Z_PM10;Z_PM10_APDA;Z_PM_WR;Z_PM_WG;Z_PM_Temp;Z_PM_pL;Z_PM_Nieder;Z_PM_rF;P_PM25;P_PM10;P_Ru;P_CO;P_NO;P_NO2
03.12.2020 00:30;20;21;21;25;21;0;0.1;2.4;1002;0.1;84.1;20;26;1.0;0.28;3;19
03.12.2020 00:33;20;21;21;24;21;196;0.3;2.4;1002;0.0;84.1;20;26;1.0;0.28;4;20
03.12.2020 00:36;20;22;21;25;21;186;0.4;2.4;1002;0.0;84.1;21;26;1.3;0.28;5;19
03.12.2020 00:39;20;22;21;25;21;200;0.4;2.4;1002;0.0;84.2;20;26;1.4;0.28;2;17
03.12.2020 00:42;20;22;21;25;21;249;0.2;2.4;1002;0.1;84.2;21;26;1.1;0.30;2;17
03.12.2020 00:45;20;22;21;25;22;0;0.0;2.4;1002;0.0;84.2;21;27;1.1;0.29;7;19
03.12.2020 00:48;20;22;21;25;22;0;0.0;2.4;1002;0.1;84.2;21;26;1.1;0.29;8;20
03.12.2020 00:51;20;22;21;25;22;0;0.0;2.4;1002;0.0;84.1;22;27;1.0;0.29;1;17
03.12.2020 00:54;20;21;21;24;22;0;0.1;2.4;1002;0.0;84.1;22;27;1.1;0.29;1;18
03.12.2020 00:57;20;22;21;24;22;213;0.3;2.4;1001;0.0;84.1;22;27;1.1;0.29;1;18
03.12.2020 01:00;20;22;21;25;22;195;0.3;2.4;1001;0.0;84.1;22;27;1.1;0.29;2;18
03.12.2020 01:03;20;22;21;25;22;351;0.1;2.4;1001;0.0;84.1;23;27;1.1;0.29;1;17
03.12.2020 01:06;20;22;21;24;22;0;0.0;2.4;1001;0.0;84.0;23;28;1.1;0.33;3;18
03.12.2020 01:09;20;21;20;24;21;0;0.0;2.4;1001;0.0;84.0;23;27;1.1;0.30;2;18
03.12.2020 01:12;20;21;20;23;21;20;0.1;2.4;1001;0.0;83.8;22;27;1.1;0.30;6;20
03.12.2020 01:15;20;21;20;23;21;158;0.3;2.5;1001;0.1;83.8;22;26;1.1;0.28;3;19
03.12.2020 01:18;19;21;20;23;21;160;0.2;2.4;1001;0.0;83.7;22;26;1.1;0.28;1;18
03.12.2020 01:21;19;21;20;24;21;0;0.0;2.5;1001;0.0;83.7;22;26;1.1;0.28;2;17
03.12.2020 01:24;19;21;20;24;21;0;0.0;2.5;1001;0.0;83.6;21;26;1.1;0.28;2;18
03.12.2020 01:27;19;21;20;24;21;0;0.0;2.5;1001;0.0;83.5;22;26;1.1;0.28;1;17
03.12.2020 01:30;19;21;20;23;20;0;0.0;2.6;1001;0.0;83.4;21;25;1.1;0.28;3;18
03.12.2020 01:33;19;20;20;23;20;0;0.0;2.6;1001;0.0;83.3;21;26;1.1;0.28;1;17
03.12.2020 01:36;19;21;20;23;20;0;0.0;2.6;1001;0.0;83.3;22;26;1.0;0.28;1;16
03.12.2020 01:39;19;21;20;23;20;0;0.0;2.6;1001;0.0;83.2;22;27;1.1;0.29;2;17
03.12.2020 01:42;19;21;20;23;20;0;0.0;2.6;1001;0.0;83.2;22;26;1.1;0.29;3;17
03.12.2020 01:45;19;21;20;23;20;0;0.0;2.5;1001;0.0;83.2;22;26;1.1;0.29;5;17
03.12.2020 01:48;19;21;20;23;20;0;0.1;2.5;1001;0.0;83.1;21;26;1.0;0.31;11;20
03.12.2020 01:51;19;20;19;22;20;298;0.3;2.5;1001;0.0;83.1;21;26;1.1;0.29;4;18
03.12.2020 01:54;19;21;19;23;20;274;0.3;2.5;1001;0.0;83.1;21;26;1.0;0.30;2;18
03.12.2020 01:57;19;21;19;23;19;335;0.1;2.5;1001;0.0;83.2;21;26;1.0;0.30;1;18
03.12.2020 02:00;19;21;19;23;19;0;0.0;2.5;1001;0.0;83.2;21;26;1.1;0.34;25;21
03.12.2020 02:03;19;21;19;23;19;0;0.0;2.5;1001;0.0;83.1;21;25;1.1;0.29;1;17
03.12.2020 02:06;19;21;19;23;20;343;0.0;2.5;1001;0.0;83.0;21;25;1.0;0.29;1;17
03.12.2020 02:09;19;21;19;23;20;197;0.0;2.5;1001;0.0;83.0;21;26;1.0;0.29;2;17
03.12.2020 02:12;19;21;19;23;20;211;0.0;2.5;1001;0.0;83.0;21;26;1.2;0.29;5;18
03.12.2020 02:15;19;21;19;23;20;0;0.0;2.5;1000;0.0;83.0;21;25;1.0;0.31;2;18
03.12.2020 02:18;19;21;19;23;20;0;0.0;2.6;1000;0.0;82.9;21;25;1.0;0.29;1;18
03.12.2020 02:21;19;20;19;22;20;0;0.0;2.6;1000;0.0;82.9;20;24;0.9;0.29;1;17
03.12.2020 02:24;19;20;19;22;20;0;0.0;2.6;1000;0.0;82.8;21;25;1.0;0.29;4;19
03.12.2020 02:27;18;20;19;22;20;0;0.0;2.6;1000;0.0;82.8;20;25;1.1;0.29;2;18
03.12.2020 02:30;18;20;19;22;20;0;0.1;2.6;1000;0.0;82.8;20;25;1.0;0.29;2;18
03.12.2020 02:33;18;19;19;21;20;0;0.3;2.5;1000;0.0;82.8;20;25;0.9;0.29;1;18
03.12.2020 02:36;18;19;19;21;20;275;0.3;2.5;1000;0.0;82.8;19;24;1.0;0.29;1;17
03.12.2020 02:39;18;19;19;21;20;279;0.3;2.5;1000;0.0;82.8;19;24;0.9;0.33;25;19
03.12.2020 02:42;18;19;19;21;20;358;0.0;2.5;1000;0.0;82.9;19;24;1.0;0.29;11;22
03.12.2020 02:45;18;19;18;21;19;0;0.0;2.5;1000;0.0;82.8;18;23;0.9;0.29;8;19
03.12.2020 02:48;18;18;18;20;19;0;0.0;2.5;1000;0.0;82.7;17;22;1.0;0.28;1;16
03.12.2020 02:51;17;18;18;20;18;202;0.0;2.5;1000;0.0;82.6;17;22;0.9;0.28;1;15
03.12.2020 02:54;17;18;18;20;18;192;0.0;2.5;1000;0.0;82.6;17;21;0.8;0.28;1;16
03.12.2020 02:57;17;18;18;20;18;188;0.0;2.5;1000;0.0;82.5;16;21;0.8;0.28;1;15
03.12.2020 03:00;17;17;18;19;18;180;0.0;2.5;1000;0.0;82.5;16;20;0.8;0.29;1;16
03.12.2020 03:03;17;17;17;19;18;9;0.0;2.5;1000;0.0;82.5;16;20;0.8;0.28;1;16
03.12.2020 03:06;16;16;17;18;18;0;0.0;2.5;1000;0.0;82.4;16;20;0.8;0.29;1;15
03.12.2020 03:09;16;16;17;17;17;163;0.2;2.5;1000;0.0;82.3;15;19;0.8;0.28;1;16
03.12.2020 03:12;16;15;16;17;17;183;0.3;2.5;1000;0.0;82.2;15;19;0.8;0.29;1;16
03.12.2020 03:15;15;15;16;16;16;185;0.4;2.5;1000;0.0;82.2;15;19;0.8;0.29;1;16
03.12.2020 03:18;15;15;15;16;16;186;0.3;2.4;999;0.0;82.2;15;19;0.6;0.30;7;17
03.12.2020 03:21;15;15;15;16;15;183;0.3;2.4;999;0.0;82.1;15;18;0.6;0.29;20;22
03.12.2020 03:24;15;15;15;16;15;360;0.0;2.4;999;0.0;82.1;14;18;0.7;0.51;2;17
03.12.2020 03:27;14;15;15;16;15;0;0.0;2.5;999;0.0;82.0;14;18;0.7;0.29;1;15
03.12.2020 03:30;14;15;15;16;15;0;0.0;2.5;999;0.0;81.8;14;18;0.7;0.28;2;17
03.12.2020 03:33;14;14;15;15;15;0;0.0;2.6;999;0.0;81.7;13;17;0.7;0.28;1;16
03.12.2020 03:36;14;14;15;14;15;0;0.0;2.6;999;0.0;81.6;13;17;0.6;0.28;1;15
03.12.2020 03:39;14;14;14;14;15;0;0.0;2.6;999;0.0;81.5;13;17;0.6;0.28;1;16
03.12.2020 03:42;14;14;14;15;15;0;0.0;2.6;999;0.0;81.4;13;17;0.7;0.28;2;16
03.12.2020 03:45;14;14;14;15;15;0;0.0;2.6;999;0.2;81.3;13;17;0.7;0.28;1;15
03.12.2020 03:48;13;14;14;15;15;0;0.0;2.6;999;0.2;81.2;13;17;1.0;0.28;2;17
03.12.2020 03:51;13;14;14;15;14;0;0.0;2.7;999;0.1;81.2;13;17;0.9;0.30;5;17
03.12.2020 03:54;13;14;14;15;14;0;0.0;2.7;999;0.1;81.1;13;17;0.8;0.28;4;18
03.12.2020 03:57;13;14;14;15;14;0;0.0;2.7;999;0.1;81.1;13;17;0.7;0.28;3;18
03.12.2020 04:00;14;15;14;16;14;0;0.0;2.6;999;0.0;81.2;13;18;0.6;0.31;8;19
03.12.2020 04:03;14;16;14;17;14;0;0.0;2.6;999;0.0;81.3;14;18;0.7;0.29;2;19
03.12.2020 04:06;14;16;14;18;15;0;0.0;2.6;999;0.0;81.4;15;18;0.8;0.29;2;19
03.12.2020 04:09;14;16;15;18;15;0;0.0;2.6;999;0.0;81.5;15;19;0.7;0.29;3;18
03.12.2020 04:12;15;16;15;18;15;0;0.0;2.6;999;0.0;81.7;16;19;0.7;0.29;2;18
03.12.2020 04:15;15;16;15;18;16;0;0.0;2.6;999;0.0;81.8;16;20;0.7;0.29;2;18
03.12.2020 04:18;15;16;16;18;16;19;0.3;2.6;999;0.0;81.9;16;20;0.7;0.29;2;19
03.12.2020 04:21;15;16;16;18;16;38;0.3;2.5;999;0.0;82.0;17;21;0.7;0.29;1;20
03.12.2020 04:24;15;16;16;18;16;0;0.0;2.5;999;0.0;82.1;17;21;0.7;0.29;2;20
03.12.2020 04:27;15;16;16;18;16;0;0.0;2.5;999;0.0;82.2;17;21;0.7;0.29;3;19
03.12.2020 04:30;15;16;16;18;16;0;0.0;2.5;999;0.0;82.3;16;20;0.7;0.30;10;19
03.12.2020 04:33;15;16;16;17;16;0;0.0;2.5;999;0.0;82.4;16;20;0.7;0.29;6;18
03.12.2020 04:36;15;16;15;17;16;0;0.0;2.5;999;0.0;82.4;16;20;0.7;0.29;2;17
03.12.2020 04:39;15;16;15;17;16;0;0.0;2.5;999;0.0;82.4;15;19;0.7;0.29;2;17
03.12.2020 04:42;15;16;15;17;16;0;0.0;2.5;999;0.0;82.5;15;19;0.7;0.29;5;19
03.12.2020 04:45;15;16;15;17;16;0;0.0;2.5;999;0.0;82.5;14;18;0.7;0.29;6;18
03.12.2020 04:48;15;16;15;17;16;0;0.1;2.5;999;0.0;82.5;14;18;0.7;0.29;2;16
03.12.2020 04:51;15;16;15;17;16;0;0.1;2.4;999;0.0;82.5;14;19;0.8;0.29;30;20
03.12.2020 04:54;15;16;15;17;15;155;0.1;2.4;999;0.0;82.6;14;18;0.9;0.29;5;19
03.12.2020 04:57;15;16;15;18;16;36;0.1;2.4;998;0.0;82.7;14;18;0.7;0.29;9;19
03.12.2020 05:00;15;16;15;18;15;0;0.0;2.4;998;0.0;82.8;14;18;0.8;0.30;11;21
03.12.2020 05:03;15;16;15;18;15;0;0.0;2.5;998;0.0;82.8;14;18;0.7;0.30;13;24
03.12.2020 05:06;15;16;15;18;15;0;0.0;2.5;998;0.0;82.8;14;18;0.7;0.29;11;21
03.12.2020 05:09;15;16;15;18;15;113;0.0;2.5;998;0.0;82.8;14;18;0.7;0.29;6;19
