ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;02.12.2020 15:07:23;0;144;49.995110;8.273937;7;147;0;9.85;10.55;10.56;9.23;50.93;1008;131;29;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.55;637;0.49;13.92;38.59
2;02.12.2020 15:08:17;0;107;49.995106;8.273833;8;128;0;12.08;15.03;15.26;9.26;51.04;1008;145;33;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.71;638;0.49;13.92;38.56
3;02.12.2020 15:08:18;0;107;49.995106;8.273833;8;128;0;8.13;13.78;15.44;9.23;51.06;1008;122;19;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.75;638;0.49;13.90;38.57
4;02.12.2020 15:08:20;0;107;49.995106;8.273833;8;128;31;9.25;10.59;10.62;9.23;51.14;1008;130;32;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.04;638;0.49;13.92;38.60
5;02.12.2020 15:08:21;0;107;49.995106;8.273833;8;128;0;8.25;9.04;9.04;9.25;51.12;1008;123;23;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.89;638;0.49;13.95;38.58
6;02.12.2020 15:08:22;0;107;49.995106;8.273833;8;128;0;10.55;13.07;13.28;9.23;51.14;1008;147;29;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.89;638;0.49;13.95;38.58
7;02.12.2020 15:08:23;0;107;49.995106;8.273833;8;128;0;7.84;13.26;19.45;9.25;51.10;1008;112;23;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.74;638;0.49;13.95;38.49
8;02.12.2020 15:08:24;0;107;49.995106;8.273833;8;128;0;11.62;14.15;14.21;9.21;51.11;1008;156;25;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.93;639;0.49;13.95;38.55
9;02.12.2020 15:08:25;0;107;49.995106;8.273833;8;128;0;9.17;19.29;88.24;9.19;51.11;1008;120;24;6;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.77;639;0.49;13.96;38.53
10;02.12.2020 15:08:26;0;107;49.995106;8.273833;8;127;0;9.99;11.11;11.12;9.21;51.19;1008;126;30;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.75;639;0.49;13.96;38.53
11;02.12.2020 15:08:27;0;107;49.995106;8.273833;8;127;0;10.29;13.15;233.32;9.21;51.20;1008;120;24;8;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.78;639;0.49;13.97;38.54
12;02.12.2020 15:08:28;0;107;49.995106;8.273833;8;127;0;9.27;14.42;20.18;9.19;51.20;1008;138;33;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2.94;639;0.49;13.96;38.57
13;02.12.2020 15:08:29;0;107;49.995106;8.273833;8;128;0;9.72;10.50;275.32;9.21;51.19;1008;137;30;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;2.75;639;0.49;13.96;38.54
14;02.12.2020 15:08:30;0;107;49.995106;8.273833;8;127;0;9.23;11.27;11.33;9.16;51.15;1008;114;26;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.84;639;0.49;13.99;38.55
15;02.12.2020 15:08:31;0;107;49.995106;8.273833;8;128;0;7.73;8.08;8.08;9.19;51.12;1008;129;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2.72;639;0.49;13.99;38.53
16;02.12.2020 15:08:33;0;107;49.995106;8.273833;9;123;36;10.79;11.95;11.96;9.18;51.11;1008;119;25;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.28;639;0.49;13.99;38.53
