ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;11.11.2020 15:42:01;0;120;50.001324;8.261175;5;206;36;22.51;44.12;47.35;11.21;77.32;1015;118;53;22;7;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.47;629;0.49;15.03;62.97
2;11.11.2020 15:42:02;0;120;50.001324;8.261175;5;206;35;25.17;69.30;83.12;11.19;77.31;1015;116;44;24;13;11;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;2.61;628;0.49;15.06;62.93
3;11.11.2020 15:42:03;0;120;50.001324;8.261175;5;206;35;27.41;82.02;92.64;11.16;77.29;1015;127;56;25;7;23;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.79;628;0.49;15.05;62.89
4;11.11.2020 15:42:04;0;120;50.001324;8.261175;5;207;35;17.09;45.26;51.48;11.15;77.28;1015;116;47;11;5;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.88;628;0.49;15.08;62.83
5;11.11.2020 15:42:05;0;120;50.001324;8.261175;5;206;36;22.45;63.84;82.79;11.19;77.25;1015;141;55;27;5;10;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.94;628;0.49;15.09;62.82
6;11.11.2020 15:42:06;0;120;50.001324;8.261175;5;206;35;22.98;53.18;105.56;11.16;77.29;1015;156;66;22;12;4;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.97;628;0.49;15.09;62.78
7;11.11.2020 15:42:07;0;120;50.001324;8.261175;5;206;36;19.32;52.16;63.48;11.16;77.27;1015;128;44;19;10;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.06;628;0.49;15.11;62.76
8;11.11.2020 15:42:08;0;120;50.001324;8.261175;5;206;35;26.19;67.24;76.54;11.18;77.27;1015;151;70;32;6;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.03;628;0.49;15.11;62.74
9;11.11.2020 15:42:09;0;120;50.001324;8.261175;5;206;36;22.77;58.57;63.66;11.16;77.29;1015;136;60;17;10;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3.11;628;0.49;15.12;62.69
10;11.11.2020 15:42:10;0;120;50.001324;8.261175;5;207;35;22.32;65.36;79.23;11.16;77.26;1015;135;49;22;8;14;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2.98;628;0.49;15.15;62.64
11;11.11.2020 15:42:11;0;120;50.001324;8.261175;5;206;36;24.55;68.02;81.92;11.18;77.26;1015;173;55;31;9;14;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.26;628;0.49;15.16;62.62
12;11.11.2020 15:42:12;0;120;50.001324;8.261175;5;206;35;20.81;47.30;55.97;11.18;77.23;1015;150;55;26;6;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.14;628;0.49;15.16;62.57
13;11.11.2020 15:42:13;0;120;50.001324;8.261175;5;259;35;18.10;40.14;44.10;11.16;77.24;1015;137;40;26;8;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.32;628;0.49;15.18;62.53
14;11.11.2020 15:42:14;0;120;50.001324;8.261175;5;206;34;22.09;56.93;65.11;11.18;77.23;1015;123;80;21;9;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.25;628;0.49;15.19;62.51
15;11.11.2020 15:42:15;0;120;50.001324;8.261175;5;207;34;22.38;67.77;83.12;11.15;77.19;1015;117;55;26;10;12;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.13;628;0.49;15.19;62.47
16;11.11.2020 15:42:16;0;120;50.001324;8.261175;5;207;35;26.10;72.79;86.73;11.13;77.18;1015;140;78;21;12;16;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.07;628;0.49;15.21;62.42
17;11.11.2020 15:42:17;0;120;50.001324;8.261175;5;206;35;21.61;59.48;77.83;11.16;77.18;1015;147;59;27;8;6;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.13;628;0.49;15.21;62.39
18;11.11.2020 15:42:19;0;120;50.001324;8.261175;5;258;35;21.24;55.22;66.32;11.18;77.15;1015;133;57;15;9;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2.87;626;0.49;15.21;62.27
19;11.11.2020 15:42:20;0;120;50.001324;8.261175;5;207;35;21.40;57.00;72.27;11.16;77.13;1015;162;56;20;10;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.20;625;0.49;15.22;62.24
20;11.11.2020 15:42:21;0;120;50.001324;8.261175;5;258;35;23.98;72.57;89.86;11.19;77.12;1015;139;50;22;12;19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.11;626;0.49;15.26;62.22
21;11.11.2020 15:42:22;0;120;50.001324;8.261175;5;206;35;23.11;67.03;82.07;11.21;77.14;1015;145;50;21;10;11;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.90;626;0.49;15.26;62.19
22;11.11.2020 15:42:23;0;120;50.001324;8.261175;5;207;35;26.86;59.01;68.60;11.21;77.09;1015;141;68;34;10;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.87;626;0.49;15.25;62.13
23;11.11.2020 15:42:24;0;120;50.001324;8.261175;5;207;35;19.49;53.02;69.46;11.21;77.10;1015;149;46;24;5;8;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.08;626;0.49;15.28;62.13
24;11.11.2020 15:42:25;0;120;50.001324;8.261175;5;206;35;22.02;68.04;85.05;11.19;77.08;1015;150;81;18;10;10;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.44;627;0.49;15.29;62.09
25;11.11.2020 15:42:26;0;120;50.001324;8.261175;5;206;35;20.56;56.26;72.82;11.22;77.04;1015;156;61;22;9;8;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.31;627;0.49;15.29;62.06
26;11.11.2020 15:42:27;0;120;50.001324;8.261175;5;206;35;19.54;54.93;66.38;11.21;77.02;1015;142;52;19;6;14;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.26;627;0.49;15.30;62.07
27;11.11.2020 15:42:28;0;120;50.001324;8.261175;5;258;35;20.49;52.09;59.10;11.23;77.01;1015;123;61;24;7;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.22;628;0.49;15.32;61.99
28;11.11.2020 15:42:29;0;120;50.001324;8.261175;5;206;36;21.13;61.17;74.63;11.23;76.97;1015;129;61;25;7;13;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.31;628;0.49;15.32;61.99
29;11.11.2020 15:42:30;0;120;50.001324;8.261175;5;206;35;21.56;60.18;79.38;11.21;76.97;1015;155;60;27;10;12;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.46;629;0.49;15.33;62.00
30;11.11.2020 15:42:31;0;120;50.001324;8.261175;5;258;35;21.69;55.74;63.63;11.21;76.95;1015;139;65;30;7;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.43;629;0.49;15.32;61.92
31;11.11.2020 15:42:32;0;120;50.001324;8.261175;5;207;35;20.15;59.67;88.10;11.23;76.94;1015;126;58;27;5;12;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.31;629;0.49;15.33;61.93
32;11.11.2020 15:42:33;0;120;50.001324;8.261175;5;207;36;21.33;62.34;78.53;11.21;76.93;1015;134;56;20;14;13;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.35;629;0.49;15.35;61.89
33;11.11.2020 15:42:34;0;120;50.001324;8.261175;5;207;35;24.89;68.14;79.43;11.18;76.90;1015;150;53;28;13;19;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.27;629;0.49;15.35;61.86
34;11.11.2020 15:42:35;0;120;50.001324;8.261175;5;207;35;29.27;83.87;97.74;11.21;76.91;1015;154;74;34;7;16;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.96;629;0.49;15.38;61.88
35;11.11.2020 15:42:36;0;120;50.001324;8.261175;5;207;35;20.58;44.55;48.09;11.21;76.96;1015;127;59;24;6;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.07;629;0.49;15.38;61.83
36;11.11.2020 15:42:37;0;120;50.001324;8.261175;5;207;35;24.69;63.96;76.12;11.19;76.96;1015;163;51;30;9;13;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.04;629;0.49;15.39;61.82
37;11.11.2020 15:42:38;0;120;50.001324;8.261175;5;206;35;26.16;62.52;66.53;11.18;76.93;1015;119;53;20;12;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.58;629;0.49;15.39;61.82
38;11.11.2020 15:42:39;0;120;50.001324;8.261175;5;207;35;20.92;54.08;61.95;11.21;76.92;1015;107;44;30;12;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.11;629;0.49;15.42;61.80
39;11.11.2020 15:42:40;0;120;50.001324;8.261175;5;207;35;22.75;55.83;63.59;11.21;76.94;1015;152;73;27;9;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.35;628;0.49;15.39;61.79
40;11.11.2020 15:42:41;0;120;50.001324;8.261175;5;207;35;25.97;71.18;84.87;11.19;76.91;1015;157;63;36;12;15;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.37;629;0.49;15.42;61.77
41;11.11.2020 15:42:42;0;120;50.001324;8.261175;5;207;35;21.73;66.88;87.17;11.21;76.91;1015;126;51;29;8;9;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.11;629;0.49;15.43;61.74
42;11.11.2020 15:42:43;0;120;50.001324;8.261175;5;207;35;19.11;58.17;72.17;11.18;76.93;1015;115;44;20;8;10;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.06;629;0.49;15.45;61.74
43;11.11.2020 15:42:44;0;120;50.001324;8.261175;5;207;35;16.60;43.41;51.47;11.19;76.89;1015;109;39;16;6;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.11;629;0.49;15.42;61.66
44;11.11.2020 15:42:45;0;120;50.001324;8.261175;5;207;35;21.51;64.39;119.24;11.16;76.93;1015;140;70;20;11;10;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.35;628;0.49;15.45;61.63
45;11.11.2020 15:42:46;0;120;50.001324;8.261175;5;207;35;23.31;70.64;93.78;11.16;76.92;1015;156;65;28;15;9;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.48;628;0.49;15.46;61.59
46;11.11.2020 15:42:47;0;120;50.001324;8.261175;5;258;35;17.99;52.12;136.84;11.16;76.92;1015;146;60;19;8;10;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3.66;628;0.49;15.46;61.62
47;11.11.2020 15:42:48;0;120;50.001324;8.261175;5;257;35;19.50;56.90;66.61;11.13;76.91;1015;148;50;28;6;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.64;628;0.49;15.47;61.54
48;11.11.2020 15:42:49;0;120;50.001324;8.261175;5;258;36;15.36;37.19;45.40;11.16;76.91;1015;135;56;17;5;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.63;628;0.49;15.47;61.49
