ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;11.11.2020 15:45:01;0;162;50.001270;8.261107;6;193;35;21.22;33.97;146.63;10.16;82.55;1019;165;44;21;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.39;638;0.49;14.13;66.70
2;11.11.2020 15:45:02;0;162;50.001270;8.261107;6;193;11;30.08;67.88;87.99;10.19;82.55;1019;167;58;28;8;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2.22;638;0.49;14.17;66.72
3;11.11.2020 15:45:03;0;162;50.001270;8.261107;6;193;19;21.15;36.36;44.51;10.16;82.58;1019;147;53;20;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2.31;638;0.49;14.16;66.67
4;11.11.2020 15:45:04;0;162;50.001270;8.261107;6;193;11;24.01;51.32;57.73;10.16;82.59;1019;163;52;21;4;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.42;638;0.49;14.16;66.65
5;11.11.2020 15:45:05;0;162;50.001270;8.261107;6;193;14;25.20;51.77;56.56;10.19;82.59;1019;155;64;22;9;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2.63;638;0.49;14.17;66.62
6;11.11.2020 15:45:06;0;162;50.001270;8.261107;6;193;25;21.46;37.04;39.65;10.19;82.61;1019;166;47;14;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.35;638;0.49;14.17;66.64
7;11.11.2020 15:45:07;0;162;50.001270;8.261107;6;193;15;24.27;55.39;83.77;10.16;82.58;1019;141;58;19;5;6;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2.32;638;0.49;14.20;66.62
8;11.11.2020 15:45:08;0;162;50.001270;8.261107;6;193;23;20.93;35.96;43.61;10.18;82.60;1019;153;63;12;6;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.43;638;0.49;14.19;66.58
9;11.11.2020 15:45:09;0;162;50.001270;8.261107;6;193;36;20.58;37.53;40.36;10.18;82.59;1019;175;50;13;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2.55;638;0.49;14.19;66.57
10;11.11.2020 15:45:10;0;162;50.001270;8.261107;6;193;33;25.39;56.92;72.55;10.16;82.60;1019;176;57;16;10;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.48;638;0.49;14.19;66.54
