ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;12.11.2020 09:21:01;2;157;50.001347;8.261172;5;350;0;7.32;10.67;10.89;14.94;71.59;1010;68;26;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.53;627;0.49;17.11;65.12
2;12.11.2020 09:21:02;0;157;50.001347;8.261172;5;350;84;7.56;12.05;12.34;14.96;71.59;1010;79;28;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.63;627;0.49;17.14;65.06
3;12.11.2020 09:21:04;0;156;50.001335;8.261182;5;350;20;6.19;12.53;17.17;14.96;71.58;1010;78;18;10;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.82;627;0.49;17.15;64.96
4;12.11.2020 09:21:05;0;154;50.001320;8.261188;5;350;1;6.43;11.50;12.58;14.96;71.59;1010;73;21;9;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.97;627;0.49;17.17;64.89
5;12.11.2020 09:21:06;0;154;50.001308;8.261192;5;350;1;7.33;11.35;11.60;14.94;71.58;1010;67;25;11;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.64;627;0.49;17.17;64.82
6;12.11.2020 09:21:07;0;153;50.001301;8.261192;5;350;1;5.26;6.37;6.40;14.96;71.58;1010;86;12;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.45;628;0.49;17.18;64.78
7;12.11.2020 09:21:08;0;153;50.001301;8.261192;5;350;82;7.73;11.78;12.15;14.93;71.56;1010;81;28;10;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3.43;628;0.49;17.21;64.73
8;12.11.2020 09:21:09;0;160;50.001225;8.261277;6;142;1;7.64;15.07;95.31;14.97;71.57;1010;96;23;7;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.36;628;0.49;17.22;64.66
9;12.11.2020 09:21:10;0;159;50.001236;8.261277;6;142;1;6.60;14.38;19.70;14.94;71.58;1010;84;23;4;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.43;628;0.49;17.25;64.63
10;12.11.2020 09:21:11;0;159;50.001236;8.261275;6;142;1;7.31;14.26;15.02;14.94;71.56;1010;72;25;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.42;628;0.49;17.22;64.54
