ID;DATETIME_UTC;SPEED_KM;ALT;LAT;LON;SATS;HDOP;AGE;PM1;PM25;PM10;TA;RH;HPA;Bin0_Bound_0.35;Bin1_Bound_0.46; Bin2_Bound_0.66; Bin3_Bound_1.0;Bin4_Bound_1.3; Bin5_Bound_1.7; Bin6_Bound_2.3;Bin7_Bound_3.0; Bin8_Bound_4.0; Bin9_Bound_5.2;Bin10_Bound_6.5; Bin11_Bound_8.0; Bin12_Bound_10.0;Bin13_Bound_12.0; Bin14_Bound_14.0;Bin15_Bound_16.0;Bin16_Bound_18.0;Bin17_Bound_20.0;Bin18_Bound_22.0;Bin19_Bound_25.0;Bin20_Bound_28.0;Bin21_Bound_31.0;Bin22_Bound_34.0;Bin23_Bound_37.0;rejectCountGlitch;rejectCountLongTOF;sampleFlowRate_SFR(mL/s)?;laserStatus;samplingPeriod(s);opcN3temp;opcN3hum 
 1;11.11.2020 16:13:01;0;108;49.995087;8.273835;7;125;35;39.20;95.68;112.21;11.25;76.61;1013;160;70;38;12;13;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.25;623;0.49;14.11;66.63
2;11.11.2020 16:13:02;0;108;49.995087;8.273835;7;125;36;40.82;108.49;132.24;11.24;76.63;1013;131;69;38;8;19;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.09;624;0.49;14.13;66.59
3;11.11.2020 16:13:03;0;108;49.995087;8.273835;7;125;36;36.52;87.95;100.19;11.22;76.62;1013;145;70;35;6;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2.11;623;0.49;14.15;66.52
4;11.11.2020 16:13:04;0;108;49.995087;8.273835;7;125;35;35.45;88.82;107.23;11.25;76.63;1013;146;70;24;12;8;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.07;623;0.49;14.13;66.51
5;11.11.2020 16:13:05;0;108;49.995087;8.273835;7;125;35;38.80;84.39;103.04;11.22;76.60;1013;155;82;32;14;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.16;624;0.49;14.13;66.43
6;11.11.2020 16:13:06;0;108;49.995087;8.273835;7;150;36;39.03;101.63;121.57;11.24;76.58;1013;130;67;31;12;11;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.00;624;0.49;14.16;66.38
7;11.11.2020 16:13:07;0;108;49.995087;8.273835;7;150;35;32.42;80.18;96.31;11.26;76.58;1013;122;77;26;15;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2.34;625;0.49;14.19;66.34
8;11.11.2020 16:13:08;0;108;49.995087;8.273835;7;150;36;35.12;93.65;117.62;11.24;76.58;1013;151;75;25;11;12;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2.23;625;0.49;14.18;66.30
9;11.11.2020 16:13:09;0;108;49.995087;8.273835;7;150;35;33.79;71.78;84.90;11.22;76.55;1013;152;61;33;12;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2.18;625;0.49;14.20;66.27
10;11.11.2020 16:13:10;0;108;49.995087;8.273835;7;150;35;33.45;85.61;101.03;11.26;76.60;1013;164;69;27;12;14;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2.45;626;0.49;14.23;66.24
11;11.11.2020 16:13:11;0;108;49.995087;8.273835;7;150;35;31.57;78.10;144.34;11.22;76.59;1013;157;82;36;5;12;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;2.61;626;0.49;14.22;66.24
12;11.11.2020 16:13:12;0;108;49.995087;8.273835;7;150;36;27.39;60.77;67.23;11.24;76.64;1013;175;78;27;9;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2.92;626;0.49;14.26;66.19
13;11.11.2020 16:13:13;0;108;49.995087;8.273835;7;150;35;30.13;69.43;85.12;11.25;76.67;1013;178;90;36;14;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;3.10;626;0.49;14.25;66.16
14;11.11.2020 16:13:14;0;108;49.995087;8.273835;7;150;35;26.08;57.16;66.46;11.21;76.68;1013;152;90;24;10;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;3.02;626;0.49;14.26;66.13
15;11.11.2020 16:13:15;0;108;49.995087;8.273835;7;150;36;30.49;68.55;76.18;11.24;76.67;1013;179;98;37;10;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.15;626;0.49;14.28;66.11
16;11.11.2020 16:13:16;0;108;49.995087;8.273835;7;150;35;22.21;44.53;48.85;11.24;76.68;1013;143;76;25;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2.95;626;0.49;14.30;66.05
17;11.11.2020 16:13:17;0;108;49.995087;8.273835;7;150;35;26.88;53.72;61.73;11.25;76.68;1013;167;90;38;12;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.31;625;0.49;14.32;66.01
18;11.11.2020 16:13:18;0;108;49.995087;8.273835;7;150;36;42.19;90.92;112.88;11.25;76.68;1013;248;147;56;27;16;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3.52;625;0.49;14.30;65.99
19;11.11.2020 16:13:19;0;108;49.995087;8.273835;7;150;35;37.37;99.02;116.46;11.21;76.69;1013;221;105;55;18;20;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;3.51;625;0.49;14.30;65.93
20;11.11.2020 16:13:20;0;108;49.995087;8.273835;7;150;35;25.01;70.26;126.71;11.22;76.72;1013;170;66;33;10;15;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.40;625;0.49;14.30;65.94
21;11.11.2020 16:13:21;0;108;49.995087;8.273835;7;150;34;29.42;75.06;96.72;11.22;76.69;1013;178;94;38;11;12;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.25;624;0.49;14.35;65.87
22;11.11.2020 16:13:22;0;108;49.995087;8.273835;7;150;34;25.56;57.32;63.16;11.21;76.69;1013;186;69;29;13;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3.28;624;0.49;14.36;65.80
23;11.11.2020 16:13:23;0;108;49.995087;8.273835;7;150;35;27.47;55.09;59.53;11.22;76.69;1013;204;88;37;10;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;3.39;624;0.49;14.36;65.79
24;11.11.2020 16:13:24;0;108;49.995087;8.273835;7;150;35;26.51;62.89;74.56;11.22;76.69;1013;214;85;32;9;12;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.45;624;0.49;14.39;65.76
25;11.11.2020 16:13:25;0;108;49.995087;8.273835;7;150;35;28.86;58.64;63.21;11.21;76.68;1013;198;96;40;13;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3.48;624;0.49;14.40;65.70
26;11.11.2020 16:13:26;0;108;49.995087;8.273835;7;150;34;28.50;68.91;77.55;11.21;76.67;1013;198;89;48;14;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3.85;624;0.49;14.39;65.67
27;11.11.2020 16:13:27;0;108;49.995087;8.273835;7;150;35;26.74;63.21;264.10;11.24;76.71;1013;205;82;38;10;13;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;3.56;624;0.49;14.40;65.65
28;11.11.2020 16:13:28;0;108;49.995087;8.273835;7;150;35;33.04;69.74;78.87;11.24;76.67;1013;199;111;41;16;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;3.32;624;0.49;14.41;65.63
29;11.11.2020 16:13:29;0;108;49.995087;8.273835;7;150;35;22.91;48.63;54.30;11.21;76.66;1013;170;73;34;11;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3.52;623;0.49;14.43;65.55
